episode,seed,instruction,success,steps,inference_calls,median_latency_ms,mean_latency_ms,initial_eef_x,initial_eef_y,initial_eef_z,final_eef_x,final_eef_y,final_eef_z,initial_cube_x,initial_cube_y,initial_cube_z,final_cube_x,final_cube_y,final_cube_z,cube_vertical_change,maximum_cube_height,maximum_cube_lift,minimum_eef_cube_distance,gripper_close_steps,gripper_open_steps
1,42,lift the red cube,0,400,100,615.4087794998304,626.7020206100096,-0.10917376353943531,0.00774085200582501,1.0090974111182707,0.2947137094765023,0.06953315455542411,0.8576922936482485,0.005223187957726201,0.00035739182468163405,0.8300935930667103,0.1596191754577274,0.05523776104315052,0.8212017065826019,-0.008891886484108324,0.8302284072719553,0.0001348142052450818,0.03384991077786705,398,2
2,43,lift the red cube,1,87,22,617.9050979999374,626.3058342273408,-0.11306344937364686,-0.004753362762962859,1.0080445196202386,-0.024748561098789597,-0.00452684740625472,0.8103019348976258,0.022431450666422992,0.00011258224218717305,0.830598146711112,0.01720166523144864,0.007620676285481934,0.8429457560345609,0.012347609323448916,0.8429457560345609,0.012347609323448916,0.038900559714313346,86,1
3,44,lift the red cube,0,400,100,624.0014844997859,648.6445930299851,-0.10060121009330163,0.0005332643740245952,1.0070981119795075,0.13613107710531291,0.0014439410348786284,0.8123887025645358,-0.011618774715895255,0.015412729377456996,0.8313204789467844,0.06792632046260198,0.03964536224415963,0.8204560892639389,-0.010864389682845532,0.8313204789467844,0.0,0.035152906865198,392,8
4,45,lift the red cube,0,400,100,622.5457384998663,625.2108376400065,-0.09723034436011578,-0.011165956722525518,1.0131257205848292,0.20989216577243708,-0.35783637367003085,0.8390225798898133,-0.0009112589039457428,0.021866213898477573,0.8309514058923309,0.027941278490859877,0.01106516051019445,0.820048970367973,-0.010902435524357879,0.8309514058923309,0.0,0.03197501031522463,353,47
5,46,lift the red cube,0,400,100,611.5297929991357,605.5086361100257,-0.10151128310826518,-0.010102466447170947,1.015588612484283,0.2120240948715484,-0.04395344633314039,0.8099296103966288,0.017957832366974173,0.006858389781484862,0.8314847368570191,0.08975454279648852,0.013306773223454811,0.8217582562335822,-0.00972648062343684,0.8314847368570191,0.0,0.031879104581106946,376,24
6,47,lift the red cube,0,400,100,629.1820944998108,632.5117685399891,-0.09466565519505357,-0.008145015473146753,1.0163232343433841,0.19559370900435513,0.4149039248767384,0.8674572661835359,0.015927534380252607,-0.02162935658268255,0.8312422160616652,0.015316627544790396,-0.021913630511291814,0.821026705221231,-0.01021551084043415,0.8312422160616652,0.0,0.036210413060305646,361,39
7,48,lift the red cube,0,400,100,627.9601684991576,623.5754186099985,-0.11238217945582872,0.00501256400273197,0.99841345580336,0.1207571585502056,0.057998950227262876,0.8130245999777918,0.003365484841349138,-0.00495846432203877,0.8318865770479528,0.10734155314165532,0.007798483039647276,0.821708926241637,-0.010177650806315719,0.8318865770479528,0.0,0.03442874371773314,363,37
8,49,lift the red cube,0,400,100,680.9047469996585,730.6508059998669,-0.09382626267995038,0.014713466519346461,1.0108687948423656,-0.6930124788597994,0.8959599781118636,0.9897175102077518,0.0012344194330847942,0.013556558260122836,0.8308821927650338,0.0005361170525831939,0.01369641456185642,0.8206666819245996,-0.010215510840434261,0.8308821927650338,0.0,0.04102313548234553,334,66
9,50,lift the red cube,0,400,100,640.4338599995754,663.5581050000656,-0.10407480505990262,0.0035462772967137478,1.019032827448101,0.2136821536986346,0.03593623851116994,0.8116896327526502,-0.003520755720713,-0.007543532854080701,0.8319508314469063,0.013438013225358087,-0.006363277983978397,0.821735320606472,-0.010215510840434261,0.8319508314469063,0.0,0.03822104084437577,375,25
10,51,lift the red cube,0,400,100,547.2240994995445,546.4865657800328,-0.09003172415385659,-0.012230926852590392,1.0228947395719312,-0.014730812912489465,-0.011741083055207959,0.8086078116675649,0.02980383677552441,-0.019829924108022524,0.8319097753797352,0.056960005220007784,-0.008234999684826176,0.8216942645393011,-0.01021551084043415,0.8319097753797352,0.0,0.03559238137234873,400,0
