model,task,episode,seed,success,steps,median_latency_ms,mean_latency_ms
Square-BC-50,NutAssemblySquare,1,42,0,400,1.3350419994822005,1.651716677533841
Square-BC-50,NutAssemblySquare,2,43,0,400,1.3068389998807106,1.3976658299725386
Square-BC-50,NutAssemblySquare,3,44,0,400,1.1367029983375687,1.1791502376581775
Square-BC-500,NutAssemblySquare,1,42,0,400,1.1198595002497314,1.1760302475340723
Square-BC-500,NutAssemblySquare,2,43,0,400,1.148851499237935,1.2078136449963495
Square-BC-500,NutAssemblySquare,3,44,0,400,1.1064084992540302,1.1573942576069385
