model,task,successes,episodes,success_rate,wilson_low,wilson_high,median_latency_ms,mean_latency_ms,mean_episode_steps
Square-BC-50,NutAssemblySquare,0,100,0.0,0.0,0.03699480747600191,1.0104405000674888,1.1476608027525343,400.0
Square-BC-500,NutAssemblySquare,0,100,0.0,0.0,0.03699480747600191,0.9757040006661555,1.0413355934006632,400.0
