episode,seed,instruction,success,steps,inference_calls,median_latency_ms,mean_latency_ms,initial_cube_z,final_cube_z,maximum_cube_height,maximum_cube_lift,minimum_eef_cube_distance,gripper_close_steps,gripper_open_steps
1,42,lift the red cube,0,400,400,582.6907325003958,662.785128695001,0.8315001961806077,0.8211808735580018,0.8315001961806077,0.0,0.03648161994296737,400,0
2,43,lift the red cube,0,400,400,576.2387879999551,584.1967543300188,0.8308108737660971,0.8205953629256628,0.8308108737660971,0.0,0.03720818728366008,398,2
3,44,lift the red cube,0,400,400,579.0952494999146,583.7230490025127,0.8309093788609837,0.8205820254407613,0.8309093788609837,0.0,0.040893715655173135,398,2
4,45,lift the red cube,0,400,400,580.5351164999593,583.0365256650157,0.8310308399742381,0.8216508628464834,0.8310308399742381,0.0,0.030808381299183986,320,80
5,46,lift the red cube,0,400,400,583.9262945000883,593.107959359993,0.8306809956665524,0.8204654848261183,0.8306809956665524,0.0,0.03019740270672791,388,12
