model,demo,expert_start_step,rollout_horizon,executed_rollout_steps,success,first_success_rollout_step,restoration_max_error,initial_eef_nut_distance,minimum_eef_nut_distance,maximum_reward,maximum_nut_lift,final_nut_dx,final_nut_dy,final_nut_dz,final_eef_dx,final_eef_dy,final_eef_dz,median_latency_ms,mean_latency_ms
Square-BC-500,demo_0,100,100,100,0,,0.0,0.07690920197411236,0.07690920197411236,0.17232972160947213,0.013344578815551622,0.03598772752697929,0.0013250091487216897,0.004524423308270187,-0.016599528175292144,0.0017763576024064642,-0.12291678719007848,1.1491035000403826,1.6064692399999103
Square-BC-500,demo_0,105,100,5,1,5,0.0,0.07659148310477032,0.07659148310477032,1.0,0.0,0.008142714569990439,-0.014501870033626046,-0.12591593887828856,-0.0342168500618035,-0.026344895125811618,-0.02051272338047816,0.9881469999868386,1.186845600000197
Square-BC-500,demo_0,110,100,6,1,6,0.0,0.07657877209035803,0.07657877209035803,1.0,0.0,0.006884671121958286,0.0011247547066359498,-0.12138529314214619,-0.033664928854177864,-0.02461792016436805,-0.02150804724911426,1.0208309999768517,1.0975893333219726
Square-BC-500,demo_0,115,100,5,1,5,0.0,0.07660604499072478,0.07660604499072478,1.0,0.0,0.008745836738856566,0.0071003047628590416,-0.11187731548694224,-0.036063552708813465,-0.016752669869307665,-0.02529036177171151,1.150235999944016,1.1708789999943292
Square-BC-500,demo_0,120,100,3,1,3,0.0,0.07667071626881158,0.07667071626881158,1.0,0.0,0.00834835833366862,-0.002810278427035226,-0.07345318812966029,-0.0328369688082273,-0.025118030112762674,-0.004948966444310865,0.967870000010862,1.0637029999998049
