model,demo,expert_start_step,rollout_horizon,executed_rollout_steps,success,first_success_rollout_step,restoration_max_error,initial_eef_nut_distance,minimum_eef_nut_distance,maximum_reward,maximum_nut_lift,final_nut_dx,final_nut_dy,final_nut_dz,final_eef_dx,final_eef_dy,final_eef_dz,median_latency_ms,mean_latency_ms
Square-BC-500,demo_0,100,200,200,0,,0.0,0.07690920197411236,0.07690920197411236,0.1737565351602093,0.014703803065830412,0.033374449857052096,0.002003470498011417,-0.023677236165060234,-0.6886145251672,-0.5249059235593171,0.39216030915879574,0.9818720000041026,1.5404439550005122
Square-BC-500,demo_0,120,200,3,1,3,0.0,0.07667071626881158,0.07667071626881158,1.0,0.0,0.005972515103755072,-0.00449024337327418,-0.08058242405537641,-0.03812284644423694,-0.019785909575063446,-0.006404829632418063,1.421599999986256,1.4358689999909302
