model,successes,episodes,success_rate,wilson_low,wilson_high,median_latency,mean_latency
BC-50,22,30,0.7333333333333333,0.5555169795568831,0.8581750444608938,3.1821449999824836,3.8647464155316635
BC-500,27,30,0.9,0.7437855868473339,0.9654007400402839,3.4612219997143256,3.4887891572491982
