episode,seed,instruction,success,steps,inference_calls,median_latency_ms,mean_latency_ms,initial_eef_x,initial_eef_y,initial_eef_z,final_eef_x,final_eef_y,final_eef_z,initial_cube_x,initial_cube_y,initial_cube_z,final_cube_x,final_cube_y,final_cube_z,cube_vertical_change,maximum_cube_height,maximum_cube_lift,minimum_eef_cube_distance,gripper_close_steps,gripper_open_steps
1,42,lift the red cube,0,400,100,606.2950645005003,609.8383459899651,-0.1176637902683821,-0.01608321675024563,1.002210814290702,0.1822640969347164,0.009562801474287893,0.8129890237004181,0.013879231870863408,-0.028651329863746404,0.8308002680730463,0.060769604363674526,-0.04704522330020769,0.8202655439194105,-0.010534724153635766,0.8308002680730463,0.0,0.048039128352157484,393,7
2,43,lift the red cube,0,400,100,612.7768760002255,615.9584105699378,-0.10440985928827315,-0.03347495633599599,1.0070197473423979,-0.0091487849177247,-0.016501860355090756,0.8092764265204846,-0.0202502333295907,-0.007394088707480706,0.8314752710701762,0.02151156508100392,0.00018685997467075762,0.8207489126516426,-0.010726358418533533,0.8314752710701762,0.0,0.03567777994522927,392,8
3,44,lift the red cube,0,400,100,622.0412869997745,624.1291409799669,-0.0965578239759663,0.005069555769809468,1.014228471300817,0.06707414498202358,0.04815789019060768,0.8253255255839071,0.00677136875926819,-0.01989465236597486,0.8302757088044185,0.07070819707414655,0.0028428751832398646,0.8200066505012947,-0.010269058303123746,0.8302757088044185,0.0,0.03344887748345207,391,9
