episode,seed,inference,latency_ms
1,42,1,666.4856190000137
1,42,2,668.5215570005312
1,42,3,606.2066430004052
1,42,4,599.3207740002617
1,42,5,613.6069500007579
1,42,6,607.9136730004393
1,42,7,602.1184310002354
1,42,8,616.5631570002006
1,42,9,596.6210050000882
1,42,10,606.7762279999442
1,42,11,623.6213289994339
1,42,12,645.7114180002463
1,42,13,611.7346859991812
1,42,14,621.631181000339
1,42,15,600.9721499995067
1,42,16,604.1362810001374
1,42,17,599.2240569994465
1,42,18,598.1718670000191
1,42,19,606.9824710002649
1,42,20,590.5113660001007
1,42,21,607.83205000007
1,42,22,606.7013639994912
1,42,23,599.8548509996908
1,42,24,610.147452000092
1,42,25,611.3100879992999
1,42,26,597.2285729994837
1,42,27,597.5255439998364
1,42,28,585.5171399998653
1,42,29,635.8934050003882
1,42,30,661.3439969996762
1,42,31,645.5665999992561
1,42,32,586.9727010003771
1,42,33,609.1707380001026
1,42,34,614.5389789999172
1,42,35,593.4569640003247
1,42,36,611.5172700001494
1,42,37,613.0761350004832
1,42,38,627.1306319995347
1,42,39,599.1638049999892
1,42,40,619.4001680005385
1,42,41,596.1874389995501
1,42,42,604.1347170003064
1,42,43,597.2799789997225
1,42,44,599.0662579997661
1,42,45,615.578404000189
1,42,46,627.0876159996988
1,42,47,611.5803850007069
1,42,48,611.5490749998571
1,42,49,629.6993549995022
1,42,50,606.678156000271
1,42,51,599.3990799997846
1,42,52,615.0727180001923
1,42,53,587.6939279996805
1,42,54,597.7483509996091
1,42,55,602.4600350001492
1,42,56,609.8636149999948
1,42,57,601.0279009997248
1,42,58,599.1839039998013
1,42,59,601.1109620003481
1,42,60,602.3207099997308
1,42,61,605.0773280003341
1,42,62,625.402376999773
1,42,63,599.2140409998683
1,42,64,612.407651000467
1,42,65,614.9973389992738
1,42,66,615.6689319996076
1,42,67,630.5521069998576
1,42,68,612.2686129992871
1,42,69,603.7686379995648
1,42,70,604.6083440005532
1,42,71,597.8962740000497
1,42,72,603.582218000156
1,42,73,617.5437339998098
1,42,74,598.8484879999305
1,42,75,592.7810029998
1,42,76,592.8095710005437
1,42,77,587.6700470007563
1,42,78,640.1634650001142
1,42,79,633.2664229994407
1,42,80,628.1202569998641
1,42,81,583.3462260006854
1,42,82,610.3582110008574
1,42,83,647.7173049997873
1,42,84,661.2476430000243
1,42,85,613.6757219992433
1,42,86,617.3402409995106
1,42,87,653.6595939996914
1,42,88,597.6153999999951
1,42,89,606.3834860005954
1,42,90,605.5776869998226
1,42,91,602.93728599936
1,42,92,595.34039799928
1,42,93,600.4455430002054
1,42,94,567.6493539995136
1,42,95,585.4070870000214
1,42,96,628.1449289999728
1,42,97,584.9037269999826
1,42,98,578.9908110000397
1,42,99,591.9579510000403
1,42,100,599.5872610001243
2,43,1,675.8978990001197
2,43,2,612.6386920004734
2,43,3,622.476368000207
2,43,4,624.11903300017
2,43,5,616.0345390007933
2,43,6,590.2631349999865
2,43,7,606.5338270000211
2,43,8,601.5574070006551
2,43,9,610.517849999269
2,43,10,601.9389209996007
2,43,11,617.7825790000497
2,43,12,621.7791139997644
2,43,13,612.2194039999158
2,43,14,631.4842849997149
2,43,15,593.4903899997153
2,43,16,616.6524039999786
2,43,17,623.5239510006068
2,43,18,612.9642639998565
2,43,19,609.5174709998901
2,43,20,605.7412849995671
2,43,21,619.8338639997019
2,43,22,617.6486100002876
2,43,23,613.9866849998725
2,43,24,586.3883749998422
2,43,25,608.2611219999308
2,43,26,598.823571000139
2,43,27,609.3757860007827
2,43,28,608.7918899993383
2,43,29,814.3631799994182
2,43,30,626.8364080005995
2,43,31,626.3370280003073
2,43,32,596.0647219999373
2,43,33,614.894772000298
2,43,34,621.7421729998023
2,43,35,620.1328959996317
2,43,36,617.6473420000548
2,43,37,576.6585500005021
2,43,38,604.5779670002958
2,43,39,619.181180999476
2,43,40,601.5337130002081
2,43,41,593.9351059996625
2,43,42,585.0866019991372
2,43,43,623.9930949996051
2,43,44,600.3190599994923
2,43,45,609.2452109996884
2,43,46,612.9150599999775
2,43,47,760.5209899993497
2,43,48,628.156036999826
2,43,49,631.8376960007299
2,43,50,597.2978300005707
2,43,51,608.7470089996714
2,43,52,610.5589479993796
2,43,53,611.8138619995079
2,43,54,604.7299219999331
2,43,55,594.7860189999119
2,43,56,602.7530239998669
2,43,57,605.5923409994648
2,43,58,614.709755000149
2,43,59,619.1471120000642
2,43,60,628.8275150000118
2,43,61,629.5258740001373
2,43,62,647.9996139996729
2,43,63,617.5287919995753
2,43,64,614.3368279999777
2,43,65,612.4550920003458
2,43,66,609.7703729992645
2,43,67,612.4099230000866
2,43,68,589.7973920000368
2,43,69,598.908670000128
2,43,70,615.391169000759
2,43,71,617.560112999854
2,43,72,611.3707049998993
2,43,73,637.2760139993261
2,43,74,608.6704139997892
2,43,75,615.5149930000334
2,43,76,602.6889790000496
2,43,77,623.7010990007548
2,43,78,629.74898199991
2,43,79,636.0267929994734
2,43,80,623.6767769996732
2,43,81,596.2702240003637
2,43,82,572.9627489999984
2,43,83,628.2918739998422
2,43,84,612.1623079998244
2,43,85,607.6553149996471
2,43,86,586.3617069999236
2,43,87,629.931497999678
2,43,88,612.9868739999438
2,43,89,624.2874469999151
2,43,90,627.566029999798
2,43,91,585.9600499998123
2,43,92,597.388809000222
2,43,93,657.462800999383
2,43,94,622.0472109998809
2,43,95,581.0557899994819
2,43,96,612.6245060004294
2,43,97,619.5072800001071
2,43,98,607.3900629999116
2,43,99,587.9268460003004
2,43,100,616.4582319997862
3,44,1,654.4744220000211
3,44,2,591.6779219996897
3,44,3,583.8080670000636
3,44,4,657.9953640002714
3,44,5,659.3558750000739
3,44,6,599.6995759996935
3,44,7,591.3495860004332
3,44,8,645.3055390002191
3,44,9,645.5724300003567
3,44,10,598.2421439994141
3,44,11,596.9033430001218
3,44,12,633.7007860001904
3,44,13,670.5791730000783
3,44,14,643.3240249998562
3,44,15,627.6371590001872
3,44,16,630.0412999999025
3,44,17,615.5285760005427
3,44,18,615.0220760000593
3,44,19,579.9329260007653
3,44,20,629.6381570000449
3,44,21,612.4163559998124
3,44,22,614.6193320000748
3,44,23,630.1270049998493
3,44,24,613.2840410000426
3,44,25,622.8634790004435
3,44,26,625.3627610003605
3,44,27,637.614923000001
3,44,28,608.8447499996619
3,44,29,628.6786339996979
3,44,30,619.962853999823
3,44,31,602.7990889997454
3,44,32,626.319156000136
3,44,33,619.6977989993684
3,44,34,606.9516779998594
3,44,35,649.2461069992714
3,44,36,672.3484750000353
3,44,37,665.5687309994391
3,44,38,633.1976239998767
3,44,39,634.1918269999951
3,44,40,644.2858700002034
3,44,41,629.4184859998495
3,44,42,660.3808610007036
3,44,43,601.0527770004046
3,44,44,596.199183999488
3,44,45,606.2030530001721
3,44,46,618.317293000473
3,44,47,595.6324750004569
3,44,48,598.1665139997858
3,44,49,610.9284370004389
3,44,50,621.9782359994497
3,44,51,604.2211969997879
3,44,52,598.5068190002494
3,44,53,604.7059509992323
3,44,54,584.4683679997615
3,44,55,634.292357999584
3,44,56,606.0846869995657
3,44,57,625.9818819999055
3,44,58,664.0024649996121
3,44,59,719.7832439997001
3,44,60,616.85801800013
3,44,61,630.2959449994887
3,44,62,625.34243600021
3,44,63,641.2122530000488
3,44,64,612.447897000493
3,44,65,623.894193000524
3,44,66,619.3270989997472
3,44,67,615.5139769998641
3,44,68,640.8396079996237
3,44,69,624.8267179998948
3,44,70,629.7688239992567
3,44,71,616.3717819999874
3,44,72,622.7187529993898
3,44,73,640.0594249998903
3,44,74,623.6384839994571
3,44,75,626.8296400003237
3,44,76,611.9403769998826
3,44,77,633.3978060001755
3,44,78,618.7995039999805
3,44,79,670.1265100000455
3,44,80,621.186372000011
3,44,81,607.340540000223
3,44,82,607.8298720003659
3,44,83,628.9867940004115
3,44,84,608.0916330001855
3,44,85,630.3349780000644
3,44,86,617.217836999771
3,44,87,610.8062789999167
3,44,88,613.1740009996065
3,44,89,625.254409000263
3,44,90,627.3858350004957
3,44,91,618.8088790004258
3,44,92,636.1307859997396
3,44,93,618.0421009994461
3,44,94,622.1043380000992
3,44,95,662.1045849997245
3,44,96,620.8000750002611
3,44,97,609.3361469993397
3,44,98,617.679281999699
3,44,99,630.2965880004194
3,44,100,617.3002939995058
