model,successes,episodes,success_rate,wilson_low,wilson_high,median_latency,mean_latency
BC-50,68,100,0.68,0.5833719774632081,0.7633098918454312,0.6806530004723754,0.7360919847689695
BC-500,94,100,0.94,0.8752303146877748,0.9722142547333433,0.6944329998077592,0.747341049146784
