variant,execute_horizon,use_wrist,episode,seed,success,steps,inference_calls,median_latency_ms,mean_latency_ms,initial_cube_z,final_cube_z,maximum_cube_height,maximum_cube_lift,minimum_eef_cube_distance
first1,1,1,1,42,0,400,400,642.5713914999278,744.0080199600004,0.8319041597532263,0.8201470543489732,0.8319041597532263,0.0,0.03536176646947223
first1,1,1,2,43,0,400,400,566.6504744999656,599.3393409550202,0.8304937210276986,0.8190456182858791,0.8304937210276986,0.0,0.036125142455161484
first1,1,1,3,44,0,400,400,613.9766715000405,646.8250044425054,0.831943386909912,0.8209074882965954,0.831943386909912,0.0,0.04128476190370313
first1,1,1,4,45,0,400,400,626.3877245000913,664.0553677549804,0.8309869099165925,0.8202661395393885,0.8309869099165925,0.0,0.02800899605023637
first1,1,1,5,46,0,400,400,604.7926034998454,616.534355012484,0.8313937652663616,0.8216540217317307,0.8313937652663616,0.0,0.040044979964771084
